1_ortho	4_cgram	11_infover	5_genre
sommes	VER	imp:pre:1p;ind:pre:1p;sub:pre:2s;	-
étant	VER	par:pre;	-
étaient	VER	ind:imp:3p;ind:pre:3p;sub:pre:3p;	-
étais	VER	ind:imp:1s;ind:imp:2s;	-
êtes	VER	imp:pre:2p;ind:pre:2p;	-
être	VER	inf;;inf;;inf;;	-
était	VER	ind:imp:3s;	-
soit	VER	sub:pre:3s;	-
fus	VER	ind:pas:1s;ind:pas:2s;	-
suis	VER	imp:pre:2s;ind:pre:1s;ind:pre:2s;	-
fusse	VER	sub:imp:1s;	-
étiez	VER	ind:imp:2p;	-
fussent	VER	sub:imp:3p;	-
fusses	VER	sub:imp:2s;	-
étions	VER	ind:imp:1p;	-
fussions	VER	sub:imp:1p;	-
furent	VER	ind:pas:3p;	-
sont	VER	ind:pre:3p;	-
es	VER	ind:pre:2s;	-
seront	VER	ind:fut:3p;	-
serons	VER	ind:fut:1p;	-
été	VER	par:pas;	m
serions	VER	cnd:pre:1p;	-
sera	VER	ind:fut:3s;	-
seriez	VER	cnd:pre:2p;	-
serez	VER	ind:fut:2p;	-
soyez	VER	imp:pre:2p;sub:pre:2p;	-
soyons	VER	imp:pre:1p;sub:pre:1p;	-
seras	VER	ind:fut:2s;	-
serait	VER	cnd:pre:3s;	-
serais	VER	cnd:pre:1s;cnd:pre:2s;	-
serai	VER	ind:fut:1s;	-
seraient	VER	cnd:pre:3p;	-
fut	VER	ind:pas:3s;	-
fussiez	VER	sub:imp:2p;	-
fût	VER	sub:imp:3s;	-
est	VER	ind:pre:3s;	-
fûtes	VER	ind:pas:2p;	-
sois	VER	imp:pre:2s;sub:pre:1s;sub:pre:2s;	-
soient	VER	sub:pre:3p;	-
fûmes	VER	ind:pas:1p;	-
je	PRO:per	-	-
de	PRE	-	-
n'	ADV	-	-
n	ADV	-	-
ne	ADV	-	-
ont	AUX	ind:pre:3p;	-
as	AUX	ind:pre:2s;	-
ayant	AUX	par:pre;	-
aurions	AUX	cnd:pre:1p;	-
aurons	AUX	ind:fut:1p;	-
ai	AUX	ind:pre:1s;	-
auront	AUX	ind:fut:3p;	-
ayez	AUX	sub:pre:2p;	-
eût	AUX	sub:imp:3s;	-
auriez	AUX	cnd:pre:2p;	-
aura	AUX	ind:fut:3s;	-
eûmes	AUX	ind:pas:1p;	-
avons	AUX	ind:pre:1p;	-
aie	AUX	sub:pre:1s;	-
aient	AUX	sub:pre:3p;	-
aies	AUX	sub:pre:2s;	-
aurai	AUX	ind:fut:1s;	-
eut	AUX	ind:pas:3s;	-
s	AUX	ind:pre:3s;	-
eussé	AUX	sub:imp:1s;	-
eussions	AUX	sub:imp:1p;	-
eussiez	AUX	sub:imp:2p;	-
eusses	AUX	sub:imp:2s;	-
eussent	AUX	sub:imp:3p;	-
eusse	AUX	sub:imp:1s;	-
eus	AUX	par:pas;	m
eurent	AUX	ind:pas:3p;	-
eues	AUX	par:pas;	f
a	AUX	ind:pre:3s;	-
eue	AUX	par:pas;	f
aurais	AUX	cnd:pre:2s;	-
avaient	AUX	ind:imp:3p;	-
aviez	AUX	ind:imp:2p;	-
aurait	AUX	cnd:pre:3s;	-
avions	AUX	ind:imp:1p;	-
avait	AUX	ind:imp:3s;	-
ait	AUX	sub:pre:3s;	-
